Variable,Base_470k,Ours_470k,Base_962k,Ours_962k
custom/CPM,2.1261457115488014,15.116334109659915,15.41632465802431,2.526375868562691
custom/CPS,0.0006617348652732014,0.0028204279618721123,0.0020005825147077945,0.0007402361229583026
custom/avg_center_dev,0.0993802398443222,0.10054347480368875,0.07711365141350776,0.08203081041574478
custom/avg_speed,18.78157615661621,10.450848694036559,13.545803327592218,15.69929313659668
custom/collision_interval,6203.328012672109,691.6880110880111,7150.187009028022,7514.928025919926
custom/collision_num,153.0,156.0,296.0,260.0
custom/collision_rate,0.7400000095367432,0.8294582671406461,0.9015260981341794,0.7599999904632568
custom/collision_speed,0.13742905735344954,0.025242045280095694,0.12876690316422051,7.877048983945804
custom/episode_length,5983.0,690.2024309723889,7086.965304358562,7299.0
custom/mean_reward,0.6053445935249329,0.37206655577504905,0.41832176228410917,0.5006445050239563
custom/mean_steer_smoothness_x100,,5.874628562314742,,13.76094913482666
custom/routes_completed,9.655256271362305,0.7719753277303578,5.568210755914711,9.8695650100708
custom/total_distance,3000.0068359375,226.4231557399571,2581.964307252559,3000.09912109375
custom/total_reward,3621.776611328125,353.8317745776594,3073.6658345467513,3654.204345703125
replay_buffer/mean_recent_rewards,0.8192686514468283,0.5815161469436827,0.5925904366143752,0.3487640933027458
replay_buffer/mean_recent_steer_smoothness_x100,,4.237367888717424,,13.367979517108516
replay_buffer/sum_recent_rewards,409.6343278577251,290.75806492396765,296.2952068302575,174.38204414384407
rollout/ep_gt_rew_mean,1053.2158126831055,1812.2000732421875,1503.962646484375,1817.0006084442139
rollout/ep_len_mean,2225.0287857055664,3060.75,2820.830078125,3289.21475982666
time/fps,12.0,12.0,12.0,12.0
time/num_timesteps,470630.0,470630.0,962229.0,962229.0
train/actor_loss,-33.33884811401367,-35.87373900413513,-32.47517639398575,-33.32948303222656
train/critic_loss,0.2654538154602051,0.2152686002664268,0.5727724507451057,0.5411469340324402
train/ent_coef,0.011817469261586666,0.009963181510102004,0.009127576558967121,0.009063852950930595
train/ent_coef_loss,-0.26291021704673767,0.275814326480031,-1.3548398297280073,-0.4426638185977936
train/learning_rate,2.8387146812747233e-05,2.8389886153945554e-05,6.424330463161709e-07,6.423501872632187e-07
train/std,0.048901741625741124,0.048550721956416965,0.0469979266053997,0.0469404649338685
